Hãng xe,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Giá
Yamaha,Cuxi,2011,23000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22800000
Ducati,899 panigale,2014,15000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,339000000
Piaggio,Vespa,2020,21000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,63000000
Yamaha,Nouvo,2018,3500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,16800000
Yamaha,Nvx,2021,26000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22000000
Honda,Lead,2017,19000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28500000
Honda,Vision,2021,9000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,30800000
Honda,Spacy,2019,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23000000
Honda,Future,2001,19999,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,27700000
Honda,Air Blade,2009,51000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,14800000
Yamaha,Sirius,2013,25000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9700000
Yamaha,Sirius,2018,7000,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,8000000
Honda,Dòng khác,2021,20000,Đã sử dụng,Tay ga,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,5800000
Ducati,Diavel,2016,4600,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,455000000
Honda,Air Blade,2012,27000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13800000
Honda,Vision,2021,3100,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28600000
Piaggio,Primavera,2014,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,29500000
Piaggio,Vespa S125,2010,200000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11200
SYM,Attila,2011,50000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6500000
SYM,Attila,2018,2500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3900000
Ducati,Monster,2014,32000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,135000000
Honda,Wave,2013,42000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7000000
Ducati,Scrambler,2016,21000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,229000000
Piaggio,LX,2013,1500,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,8000000
Honda,Wave,2004,150,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,66000000
Honda,SH,2017,47659,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,75000000
Honda,Click,2008,56789,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8300000
Honda,Air Blade,2015,5400,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15800000
Honda,CD,2005,4500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13000000
Honda,SH Mode,2016,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36500000
Yamaha,Nozza,2014,10000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7800000
Yamaha,MT,2020,9300,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,259000000
Yamaha,Grande,2014,37000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19000000
Honda,Cub,1993,1500,Đã sử dụng,Xe số,Dưới 50 cc,Đang cập nhật,Bảo hành hãng,11500000
Honda,SH Mode,2021,2298,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28600000
Yamaha,R,2017,2000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28500000
Piaggio,Sprint,2018,16000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,48500000
Honda,Vision,2020,3900,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,19800000
Yamaha,R,2022,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,46000000
Honda,Win,1999,18000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Đang cập nhật,Bảo hành hãng,28000000
Piaggio,Vespa,2018,7600,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28800000
Honda,Citi,2000,5,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,4800000
Triumph,Street Twin,2019,1300,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,469000000
Kawasaki,Max,2023,18000,Đã sử dụng,Tay ga,Dưới 50 cc,Việt Nam,Bảo hành hãng,5500000
Honda,CB,2020,8000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,199000000
Honda,Vision,2013,12568,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15900000
Honda,Wave,2014,9,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,11500000
Honda,SH Mode,2022,2100,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,43500000
Piaggio,Liberty,2013,1500,Đã sử dụng,Tay ga,50 - 100 cc,Đang cập nhật,Bảo hành hãng,6800000
Hãng khác,Dòng khác,2005,262757,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,55000000
Honda,Blade,2018,36524,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12800000
Honda,SH,2017,30000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,1000000
Honda,Cub,1998,555,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,14500000
Honda,Air Blade,2012,7899,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12500000
Suzuki,Raider,2018,21,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25000000
Yamaha,Nvx,2017,15000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,27800000
Yamaha,Jupiter,2014,18000,Đã sử dụng,Xe số,50 - 100 cc,Nhật Bản,Bảo hành hãng,14500000
SYM,Attila,2007,5,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2600000
Honda,Vario,2021,2000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36800000
Honda,SH,2007,999999,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,73000000
Yamaha,Exciter,2018,9,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,28800000
Suzuki,GD,2019,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,22000000
Honda,Wave,2005,25700,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,3900000
Yamaha,Exciter,2017,18200,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18000000
Yamaha,Exciter,2016,27,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,17500000
Honda,Winner X,2021,24536,Đã sử dụng,Xe số,Trên 175 cc,Đang cập nhật,Bảo hành hãng,22500000
Honda,Wave,1999,6868,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23000000
Yamaha,Exciter,2018,9000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25000000
Honda,PCX,2018,13000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,38000000
Honda,Dream,1999,42500,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,24000000
SYM,Husky,2022,2798,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,18600000
Honda,67,1994,100000,Đã sử dụng,Tay côn/Moto,50 - 100 cc,Đang cập nhật,Bảo hành hãng,18000000
Benelli,TNT,2021,3200,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,26500000
Honda,SH,2020,2500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,62000000
Triumph,Street Scramber,2020,1333,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,400000000
Yamaha,Taurus,2009,56789,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8700000
Honda,Sonic,2020,20000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,30000000
Honda,67,2019,80000,Đã sử dụng,Xe số,Không biết rõ,Đang cập nhật,Bảo hành hãng,15000000
Honda,Wave,2004,40000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9800000
Yamaha,R,2018,3500,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,23500000
Honda,MSX 125,2015,12345,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,21800000
Hãng khác,Dòng khác,2007,35000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,2800000
Triumph,Street Twin,2019,32000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,265000000
Suzuki,Sport / Xipo,2000,100000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,25500000
Yamaha,Nozza,2014,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,7400000
Yamaha,Exciter,2011,3900,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,32600000
Honda,Click,2010,8000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,6700000
Piaggio,Liberty,2015,2300,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,10600000
Ducati,Multistrada,2015,21000,Đã sử dụng,Tay côn/Moto,Trên 175 cc,Đang cập nhật,Bảo hành hãng,288000000
SYM,Husky,1997,33333,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,16000000
Hãng khác,Dòng khác,2008,23456,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,2850000
Honda,Air Blade,2010,20000,Đã sử dụng,Tay ga,100 - 175 cc,Thái Lan,Bảo hành hãng,42000000
Yamaha,R,2022,32098,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,36800000
Honda,Air Blade,2020,10,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,41500000
Aprilia,Dòng khác,2005,399999,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,3900000
Hãng khác,Dòng khác,2015,25000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,5200000
Honda,SH,2014,24000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,51400000
Honda,Citi,1997,77777,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,15000000
Yamaha,Exciter,2019,2200,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,16500000
Honda,Cub,1998,21579,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,45000000
Piaggio,Liberty,2012,5000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,8200000
Honda,Blade,2017,30000,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,12000000
Yamaha,Exciter,2022,1100,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Đang cập nhật,Bảo hành hãng,24500000
Honda,Dylan,2011,12500,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,9800000
Honda,Wave,2011,8686,Đã sử dụng,Xe số,100 - 175 cc,Đang cập nhật,Bảo hành hãng,13500000
Hãng khác,Dòng khác,2013,1234,Đã sử dụng,Xe số,50 - 100 cc,Đang cập nhật,Bảo hành hãng,3500000
